Pais,Orden,Nombre,Poblacion
IND,1,India,1417173 
CHN,2,China,1412175 
USA,3,United States,333288 
IDN,4,Indonesia,275501 
PAK,5,Pakistan,235825 
NGA,6,Nigeria,218541 
BRA,7,Brazil,215313 
BGD,8,Bangladesh,171186 
RUS,9,Russian Federation,144237 
MEX,10,Mexico,127504
